instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
0,0,0,0,1,Instructions/consent.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,Instructions/instr_1.png,5,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Instructions/instr_2.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,Instructions/instr_3.png,5,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,4,1,Instructions/instr_4.png,1,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,5,1,Instructions/instr_5.png,1,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,6,1,Instructions/instr_6.png,1,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,7,7,7,1,Instructions/instr_7.png,1,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,8,8,8,1,Instructions/instr_8.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,9,9,9,1,Instructions/instr_9.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,10,10,10,1,Instructions/instr_10.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,11,11,11,1,Instructions/instr_11.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,12,12,12,1,Instructions/instr_12.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,13,13,13,1,Instructions/instr_13.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,14,14,14,1,Instructions/instr_14.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,15,15,15,1,Instructions/instr_15.png,3,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
0,16,16,16,1,Instructions/instr_16.png,5,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,1.1892,9,1,11.429365,0,0,0,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.76548,1,1,0.74056,0,1,1,5,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,0,,1,1,2.517275,0,2,2,6,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.656285,9,1,0.716645,0,3,3,7,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,0,0.93871,1,1,3.2549,0,4,4,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.26472,1,1,1.2947,0,5,5,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.605865,1,1,0.7305,0,6,6,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.105095,9,1,0.75575,0,7,7,4,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,0,0,0,0,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_practice_B.png,Practice trials completed,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.11304,1,1,0.842715,0,0,0,3,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_d_2.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,0,1.127765,1,1,0.726025,0,1,1,4,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_s_3.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,1.04324,1,1,0.685905,0,2,2,2,1,Stimuli/testStimuliCube/6u_s_2.png,Stimuli/testStimuliCube/6u_s_2.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.35528,1,1,0.61532,0,3,3,17,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_d_3_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.034345,1,0,0.66125,0,4,4,15,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_d_2_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,1.349855,1,1,0.716245,0,5,5,6,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_s_4.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.912645,1,1,1.16021,0,6,6,14,1,Stimuli/testStimuliCube/6u_s_2_s.png,Stimuli/testStimuliCube/6u_s_2_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.25111,1,1,1.12841,0,7,7,9,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_d_5.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.926885,9,0,1.27922,0,8,8,0,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_s_1.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.156665,9,1,1.482945,0,9,9,13,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_d_1_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,0,,9,1,1.620335,0,10,10,18,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_s_4_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,0,1.07028,1,1,1.152725,0,11,11,11,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_d_6.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.0567,9,1,1.136135,0,12,12,1,1,Stimuli/testStimuliCube/6u_s_1.png,Stimuli/testStimuliCube/6u_d_1.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,0,,9,1,0.70322,0,13,13,23,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_d_6_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,1.03716,1,1,0.98056,0,14,14,20,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_s_5_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.851205,1,1,1.24549,0,15,15,8,1,Stimuli/testStimuliCube/6u_s_5.png,Stimuli/testStimuliCube/6u_s_5.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.240965,1,1,0.71105,0,16,16,21,1,Stimuli/testStimuliCube/6u_s_5_s.png,Stimuli/testStimuliCube/6u_d_5_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.690665,9,1,0.83543,0,17,17,10,1,Stimuli/testStimuliCube/6u_s_6.png,Stimuli/testStimuliCube/6u_s_6.png,0,9,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.0248,1,1,0.725985,0,18,18,5,1,Stimuli/testStimuliCube/6u_s_3.png,Stimuli/testStimuliCube/6u_d_3.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.079855,1,1,1.12664,0,19,19,7,1,Stimuli/testStimuliCube/6u_s_4.png,Stimuli/testStimuliCube/6u_d_4.png,1,1,,,,,,,,,c,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.899945,1,1,0.488685,0,20,20,19,1,Stimuli/testStimuliCube/6u_s_4_s.png,Stimuli/testStimuliCube/6u_d_4_s.png,1,1,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.537125,1,1,0.549565,0,21,21,16,1,Stimuli/testStimuliCube/6u_s_3_s.png,Stimuli/testStimuliCube/6u_s_3_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.606145,1,0,0.481,0,22,22,12,1,Stimuli/testStimuliCube/6u_s_1_s.png,Stimuli/testStimuliCube/6u_s_1_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,0,0.99558,9,1,0.842255,0,23,23,22,1,Stimuli/testStimuliCube/6u_s_6_s.png,Stimuli/testStimuliCube/6u_s_6_s.png,0,9,,,,,,,,,s,3D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,0,1,1,1,1,Stimuli/trialListCubes1.xlsx,Instructions/instr_19.png,Progress: 24 of 192 trials completed,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.11441,1,1,1.022095,0,0,0,3,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.57309,9,1,0.738925,0,1,1,7,1,Stimuli/practiceStimuliSquare/practice4_s.png,Stimuli/practiceStimuliSquare/practice4_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,1.02336,9,1,0.86234,0,2,2,1,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,1.085465,1,1,0.628845,0,3,3,0,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.77659,1,1,0.787715,0,4,4,5,1,Stimuli/practiceStimuliSquare/practice2_s.png,Stimuli/practiceStimuliSquare/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,0,0.65338,9,1,0.728325,0,5,5,6,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.503135,1,1,1.313885,0,6,6,2,1,Stimuli/practiceStimuliSquare/practice3_s.png,Stimuli/practiceStimuliSquare/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.662405,9,1,0.77619,0,7,7,4,1,Stimuli/practiceStimuliSquare/practice1_s.png,Stimuli/practiceStimuliSquare/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,,,,,,,,,,,,,,,,0,2,2,2,1,Stimuli/practiceListSquares.xlsx,Instructions/instr_practice_A.png,Practice trials completed,,
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.58181,1,1,0.42767,0,0,0,12,1,Stimuli/testStimuliSquare/6u_s_19_s_2D.png,Stimuli/testStimuliSquare/6u_s_19_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.67094,1,1,0.45956,0,1,1,13,1,Stimuli/testStimuliSquare/6u_s_19_s_2D.png,Stimuli/testStimuliSquare/6u_d_19_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.7241,9,1,1.07351,0,2,2,8,1,Stimuli/testStimuliSquare/6u_s_23_2D.png,Stimuli/testStimuliSquare/6u_s_23_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.557445,1,1,0.783065,0,3,3,14,1,Stimuli/testStimuliSquare/6u_s_20_s_2D.png,Stimuli/testStimuliSquare/6u_s_20_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.538465,9,1,0.42978,0,4,4,2,1,Stimuli/testStimuliSquare/6u_s_20_2D.png,Stimuli/testStimuliSquare/6u_s_20_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.83294,1,1,1.14319,0,5,5,3,1,Stimuli/testStimuliSquare/6u_s_20_2D.png,Stimuli/testStimuliSquare/6u_d_20_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.80684,1,1,0.61593,0,6,6,1,1,Stimuli/testStimuliSquare/6u_s_19_2D.png,Stimuli/testStimuliSquare/6u_d_19_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,0,0.57299,1,1,0.87046,0,7,7,21,1,Stimuli/testStimuliSquare/6u_s_23_s_2D.png,Stimuli/testStimuliSquare/6u_d_23_s_2D.png,1,1,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.8491,1,1,0.72431,0,8,8,5,1,Stimuli/testStimuliSquare/6u_s_21_2D.png,Stimuli/testStimuliSquare/6u_d_21_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.92669,9,1,0.876235,0,9,9,18,1,Stimuli/testStimuliSquare/6u_s_22_s_2D.png,Stimuli/testStimuliSquare/6u_s_22_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.6905,9,1,0.98742,0,10,10,0,1,Stimuli/testStimuliSquare/6u_s_19_2D.png,Stimuli/testStimuliSquare/6u_s_19_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.66877,9,1,0.716755,0,11,11,7,1,Stimuli/testStimuliSquare/6u_s_22_2D.png,Stimuli/testStimuliSquare/6u_d_22_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.64865,9,1,0.96257,0,12,12,20,1,Stimuli/testStimuliSquare/6u_s_23_s_2D.png,Stimuli/testStimuliSquare/6u_s_23_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,9,1,0.58434,9,1,0.420995,0,13,13,4,1,Stimuli/testStimuliSquare/6u_s_21_2D.png,Stimuli/testStimuliSquare/6u_s_21_2D.png,0,9,,,,,,,,,c,2D
,,,,,,,19,Male,B,2020-05-20_15h38.33.450,Remembering_Displays,2020.1.2,Win32,60,1,1,0.45411,9,1,0.51767,0,14,14,15,1,Stimuli/testStimuliSquare/6u_s_20_s_2D.png,Stimuli/testStimuliSquare/6u_d_20_s_2D.png,1,1,,,,,,,,,s,2D
